query,text,negative_score,neutral_score,positive_score,compound_score
cops,Auditor Won't Take These Cops' Attitudes and Unlawful Orders!  via @YouTube
cops,See what rogue cops from Kamukunji Police Station were caught doing in Ongata Rongai - The Kenyan police force is rotten  
cops,Purse snatcher punches -year-old woman down stairs: cops 
cops,Nothing funnier than fucking Wisconsin morons with thin blue line Punisher logos on their trucks like bro he kills cops in canon 
cops,This is why we hate all cops. Absolutely trash people right there 
cops,I cant do no interviews cause the cops on my ass
cops,bout to self juice dont call the juice cops
cops,since hes on my tl rn yall remember when drm fans dxxed a black person and called the cops on op and he still defended his stans
cops,Heres what happens when cops pull over a driverless Cruise vehicle 
cops,eve called the cops on her WTF
cops,I encountered an anti vaxee irl that threatened and wished death in me and other patients at the doctors office I was in we all yelled at her to stfu and the cops took her away  shit like this happens irl but people say it's fake because we're not creeps with a camera out / 
cops,I-Team: Congressional Candidate to cops serving no-knock warrant: I'll ...  via @YouTube
cops,Heres what happens when cops pull over a driverless Cruise vehicle - 
cops,This was hilarious  Jimmy Kimmel Reports 'Sweet Little Snowflake' Marjorie Taylor Greene to Batman After Her Cops Threat  SmartNews
cops,In Jojo all the cops are scum. One is such scum he joins the actual fucking mafia. It's a good thing he's fictional and has that face....and that voice....or I'd wanna yeet him into the sun. :)
cops,please. stop praying for eichi!!!! you are making him too strong. he broke out of the hospital and the cops cant get him. hes too powerful
cops,A$$hole cops protecting Coal Baron Joe Manchins financial interests. @jcmulloy appears briefly. ManchinBlockade @WV_Rising @NoCoalNoGas @Mass @NorthShore 
cops,my dreams are so swag i just had a dream that me and my bf ran over some random ass girl and we were running from the cops
cops,Yeah it's giving. Go follow @NailsByJill__ bc on god if no one cops this design bitch I WILL. 
cops,wholesome story! working on a song right now about our brave cops and military! 
cops,The cops the cops 
cops,im a typical punk but im dayglo abortions really..... its juust folklore like i said you know........ a cops worst nightmare
cops,Kdrama lovers y'all should see ROOKIE COPS. Owà veryyyyyyy interesting
cops,Heres what happens when cops pull over a driverless Cruise vehicle
cops,THE COPS ARE COMING!
cops,Head-on crash shuts down Route  in Hancock 
cops,'Hes twittering the cops.' 
cops,Jeffrey M. Selchick saw the same video we all did and still clear these cops after they almost killed  year old Martin Gugino … SMDH 
cops,I want my Country back! We should make it a crime for any government official to be associated with  trumps GOP Nazis KKK Fascism White Supremist  Racist  Bad Cops Maga'  Proud Boys  Confederates any hate group!  
cops,STEVES COMPANY HEISTERS  D@D construction theives   SW TH ST ALBERT URESTI HECTOR CUELLAR  HENRY CUELLAR who are not cops  ALEX GARCIA  EDDIE FERDANEZ  ALBERT OLIVARES  JOE LOPEZ  KEVIN BROWN  ARTURO PEREZ  MANUEL TORESS SR AND MANUEL TORESS JR AT  MARBAUCH AVE 
cops,There Will Be No Indictment For The Cops Who Killed This Man  via @YouTube
cops,Good point. Firefighters are “firefighters” or “firemen” cops are “cops” or “police officers” nurses are “nurses” or “RNs”. We are  different names. 
cops,Transformative Justice is not just replacing the cops. Its a completely different worldview. 
cops,overzealous cops are the worst
cops,Goose flies into motorcyclists head causing deadly crash in Pennsylvania cops say  via @Yahoo
cops,Look I get texting and driving is bad but yet cops over here checking their computers while driving. Ha. 
cops,There will be no cops at pride this year. All but one of the @ABQ_Pride  board members voted to not allow @ABQPOLICE  in the Pride Parade or at Pride Fest . Do you agree with this decision?
cops,New Post: Oklahoma Thieves Impersonate Cops and Raid Several Pot Farms 
cops,In June  Buffalo cops were caught on camera gratuitously pushing a -year-old protester to the ground fracturing his skull. Two years later let's check in on what's happened to those cops. It shows how our hierarchy of consequences for police misconduct is all screwed up.
cops,ACAB is supposed to stand for All Cops Are Bastards not All Cops Are Baptizers. 
cops,Oh no!  It's the cops!  
cops,Three Things that keep me from enjoying Masks podcasts anymore areAgeis (and general cops)The solider playbook (and general pro system shit)Teens (and assorted children)I really wish we coulda released all of super streets which featured none of that.
cops,It has come to my attn that this user: thatdaneshguy has conflated two stories that has nothing to do with the each other and have potentially put a victim from the DMV in danger. If she ends up being murder by the cops we know who to blame for discrediting her. accountability
cops,Cops are fucking GOOFIES. Like Im convinced all cops have shit for brains 
cops,To cops/prisons/rich people… AND DEFINITELY NOT THE PENTAGON. 
cops,All of these trained professionals fell for this?  If someone tipped them off that means at least one person involved knew they were criminals  not cops. Bet there are more. I just don't buy that all of these agents were innocent victims  not willful participants. 
cops,Man @KyrieIrving just hit TJ with something filthy. Call the Cops! UncleDrew
cops,Driverless car pulled over by cops  who do you give the ticket to?? Nothing happens after the first : 
cops,The other day my gay brother told me that some dude on a train platform in NYC hit him so hard for being that the entire side of his face was bruised. Forehead black eye cheek. The cops told him that they were too busy. Black immigrant gay. Nobody gives a shit.
cops,Friend of a friend teaches cops how to be cops at a police academy. He doesn't wear his gear when he's on admin duty. I told him he wasn't serious about his job if he answered emails without wearing his bullet-proof vest and side-arm sixteen in the clip one in the chamber
cops,Real troopers wouldnt let crooked troopers get away with their crimes. @MSPTroopers should probably think about that before commenting on other peoples actions. Literally .% of you are so corrupt that the @SuffolkCountyDA  keeps your names on a list of corrupt cops
cops,Never realized until listening to it now between periods that the Star Wars theme song is very similar to what was produced for CHIPS in the s. How about next we have a CHIPS night to celebrate motorcycle cops?
cops,It's  and cops are trying to arrest a driverless car.The car yielded to the police as intended and pulled over to the nearest safe location and put blinkers on.There was nobody to arrest tho.driverless car autonomous autonomouscar police
cops,As a reminder I adopted Millie after being rped in Texas in October and being too scared to report it to cops. I have felt more confident and safe in this world with my dog at my side. She is my everything.
cops,It's just like that episode of Benefit Street when one neighbour kept complaining  was taking photographs of all the parties the other one kept having then got huckled by the cops so they phoned the DSS to grass the other neighbour up for benefit fraud.
cops,Orthodox like not finding cops with radars near synagogues on Saturdays (off)
cops,See how cops needlessly escalate? Like she wasnt already concerned that her dog had just escaped. What was accomplished here? Cant reform this. 
cops,They had college courses on The Wire and not to mention the use of real people from Baltimore cops and drug dealers 
cops,I've known good criminals and bad cops. Bad priests. Honorable thieves. You can be on one side of the law or the other. But if you make a deal with somebody you keep your word.
cops,There's a clear as day video of this event of the man obviously trying to hand something to the police or at least get them to stop to talk but apparently that doesn't matter. That line of riot cops were real threatened by a  year old man. Police are terrorists. ACAB 
cops,Mystery of murdered porn star found chopped is solved after cops match tatts 
cops,Stuff got said stuff got settled. No one ever called the cops.  @JaniceDean @JessieJaneDuff @bdomenech @seanmdav @Heminator @RealJamesWoods @NolteNC @KurtSchlichter @AdamBaldwin @ChrisLoesch @RichardGrenell @ggreenwald @MZHemingway @rogerkimball
cops,Dueling banjoes get money (get money)But these pennies feel like they can cover manholesShoot hick cops Rambo Mujaheddin still onA simpler time busting Mexican brick into dimeFeeling like Pennywise what a time to be alive
cops,Buffalo cops who pushed protester Martin Gugino to ground cleared of wrongdoing  ACAB DemilitarizeThePolice DefundThePolice EndProgram EndNoKnockWarrants EndStopAndFrisk EndQualifiedImmunity EndAssetForfeiture
cops,French protesting : firefighters setting themselves alight and punching copsUK protesting : switching off the lights for a little bit while the government slowly strangles us for being poor.
cops,God Minneapolis cops are so gross 
cops,Pff. You should know better than that. The cops wouldnt care whether the gvn was a toy or not. Theyd still lock you up regardless. 
cops,She would have these long conversations with her dog where she would do both sides but the things she made the dog say were like...really weird and dumb. I don't know man. It was pretty fucked up. --My neighbors if the cops ever ask them about me
cops,Cops when theres no one to shoot:  
cops,just delete twitter bro before u get the cops called on all of us  @elijahizaak
cops,I just saw @realjeffreyross at the Dodgers vs Rockies game. Someone call the cops his ass is missing.
cops,Here's what happens when cops pull over a driverless Cruise vehicle  metabloks
cops,I wish this would be bigger news. @CAgovernor why was a majority of our states Covid relief given to the already overfunded police departments? Couldve been used to help people who needed it but instead went to cops. How much of this money funded the gangs in the @LASDHQ?  
cops,“He concluded Gugino appears to have lost his balance because he was holding objects in both handshis advanced age or because he was surprised the officers used force to push him away”-This is EXACTLY why IT IS a crime not why he ruled its not. Insane  
cops,cops literally get paid to jack each other off in the squad car 
cops,what the cops do while you're on hold : 
cops,NJ cops  I hope he was fired and charged
cops,Khamzat says hell only fight Colby if he doesnt call the cops  
cops,Btw he smashed a hole in her wall and shes reported him several times cops do nothing this is why women die. Even domestic avise is not taken seriously.Shes white and cops arent doing shit imagine a woc. 
cops,This “sudden dismissal” of the Herrerra case smells like a CYA for MASSIVE screwups by the hosp cops  DAs office  it smells like the DA got a call from Abbott and/or Paxton telling him that bringing this case “now” wasnt “politically expedient.” What was statute violated?  
cops,Not to mention the police actually arrested those fools after they fled the scene. They didnt shoot at the cops or fight.. so they lived. Weird how that works. 
cops,She should have never been arrested.CALL A LAWYER sue the fuck outta all of them The hospitalThe copsAll of them. 
cops,Biden ordered Sergio Munoz stfu already u know damn well ull get ur ass kicked in a fight in a fist fight to Lucifer. Leave him alone and live ur own life . Ur already a disgrace to cops all over america he punked u on live tv the world chose him w his history over u .
cops,in case you were wondering if that commitment to abolition is real I am a white cis lady who was sexually assaulted in my church office and no I did not call the cops because we don't call the fucking cops
cops,drunk Florida man kicked out of library told cops he was jason bourne 
cops,me and @frank__herman actually just stole our whole act from the two cops in Zodiac
cops,Cops are so fucking useless and we pay them an obscene amount 
cops,Are there cops at Eureka's Castle? 
cops,I'M CALLING THE COPS
cops,HOW CAN ANY GOPCALL THE COPSÒWN ANYONETHEY BREAK THELAW EVERYDAYWITH THERE MOUTHJAN TH WILL POLICETHE GOP PARTYCLEAN IT UPI CANTWAIT TOO SEE THIS
cops,“Heres what happens when cops pull over a driverless Cruise vehicle”Theres a glaring omission in this article. How did they pull the car over? 
cops,why tf are there so many cops out today
cops,Ive been shot at. Multiple times and in multiple situations. Drive bys when I was at a party. Ive had shotguns held to my head by cops. Ive watched a friend get robbed at gun point. The terror you feel in those moments when seeing deranged and unhinged ppl with guns.
cops,They fit three cops in that cruiser?! 
cops,Cops are a social cancer. 
cops,Gotta say  years ago if I walked into a store wearing my Bullet Club mask I'd probably had the cops called on me  
cops,If you havent committed a serious crime then why run from them and then fight them. When we make it illegal for cops to chase and disable people they are trying to arrest then all will run and fight. Yay! More criminals on the street! Sarcasm intended! 
cops,Good morning to everyone except the cops who killed PatrickLyoya. BlackLivesMatter
cops,He admits he knew we stopped that fight but he still allowed the situation to escalate and let the arrests happen!!The discovery was  pages long!!!! cops perjure themselves over n over no mention of the gun being dropped but u can hear me scream it in st videodisgraceful 
cops,I want to see a spin-off of BojackHorseman  Mr. Peanutbutter in Cops and Mustards. 
cops,a shame it's full of evil cops prosecutors and judges 
cops,Muslim mob giving anger reply by Stone Pelting on cops DelhiRiots 
cops,Brandishing sword in front of the cops is secular but sporting tilak on the forehead is communal
cops,Cops: Arizona man stuffed  animals in freezer some alive 
cops,The yatras we Hindus take out - we already gather in the thousands. Why don't we equip ourselves and be prepared? The moment we stop depending on the cops is the moment from which we will be feared.
cops,Glad to see new better solutions being discussed for street safety. We dont need cops spending time on expired tags if violent crime is rising. Hope our leaders like @willjawando @hansriemer @tomhucker @EvanMGlass will lead the County on this 
cops,This guy mag dumped into his friend and then walked up and said “are you okay?”Lmfao cops are brilliant 
cops,Breaking in bigTerrrists attack in DelhiSleeping cells activated with swords in hand and attack on police and security also times nam@zi terrrists in the name of all@h attacked people  cops of India with stones!!
cops,Why does Google police queer people of color by facilitating cops
cops,Police refute claims that infant died due to cops stopping traffic inKalyandurg 
cops,Two robbed of Rs  lakhs in Bathinda by men posing as cops 
cops,This is sh cuz it shows the defects of the white man breeding labs in slav Boxed hairline showing they are tamed animals and shAnd small nigR ears that can't hear cops alerts or receive a new language 
cops,The re-publicans/confederates/conservatives are for: anti-abortion executions oligarchs every corporation minimum wage (or less) white-only America cops who kill corruptible judges etc. etc.
